"","interation","score.i","length.i","seq.length1","seq.length2"
"1",1,23,10,191,191
"2",2,32,15,191,191
"3",3,35,14,191,191
"4",4,29,12,191,191
"5",5,29,15,191,191
"6",6,31,41,191,191
"7",7,38,30,191,191
"8",8,27,27,191,191
"9",9,24,9,191,191
"10",10,25,20,191,191
"11",11,32,39,191,191
"12",12,28,16,191,191
"13",13,25,12,191,191
"14",14,26,13,191,191
"15",15,38,29,191,191
"16",16,26,12,191,191
"17",17,25,16,191,191
"18",18,29,48,191,191
"19",19,31,34,191,191
"20",20,25,27,191,191
"21",21,29,32,191,191
"22",22,29,50,191,191
"23",23,27,9,191,191
"24",24,32,37,191,191
"25",25,28,13,191,191
"26",26,26,12,191,191
"27",27,29,31,191,191
"28",28,30,29,191,191
"29",29,21,5,191,191
"30",30,42,36,191,191
"31",31,30,10,191,191
"32",32,27,20,191,191
"33",33,35,64,191,191
"34",34,32,16,191,191
"35",35,27,63,191,191
"36",36,29,33,191,191
"37",37,28,6,191,191
"38",38,25,27,191,191
"39",39,35,52,191,191
"40",40,29,26,191,191
"41",41,23,9,191,191
"42",42,27,22,191,191
"43",43,25,8,191,191
"44",44,23,5,191,191
"45",45,24,11,191,191
"46",46,27,22,191,191
"47",47,30,8,191,191
"48",48,28,7,191,191
"49",49,24,5,191,191
"50",50,30,39,191,191
"51",51,31,13,191,191
"52",52,25,8,191,191
"53",53,23,11,191,191
"54",54,26,11,191,191
"55",55,29,11,191,191
"56",56,27,20,191,191
"57",57,28,11,191,191
"58",58,31,46,191,191
"59",59,23,21,191,191
"60",60,29,29,191,191
"61",61,22,9,191,191
"62",62,23,7,191,191
"63",63,26,19,191,191
"64",64,39,25,191,191
"65",65,23,11,191,191
"66",66,25,36,191,191
"67",67,31,27,191,191
"68",68,40,62,191,191
"69",69,32,16,191,191
"70",70,36,40,191,191
"71",71,30,43,191,191
"72",72,27,15,191,191
"73",73,27,5,191,191
"74",74,23,12,191,191
"75",75,29,21,191,191
"76",76,38,34,191,191
"77",77,30,31,191,191
"78",78,24,33,191,191
"79",79,27,7,191,191
"80",80,29,14,191,191
"81",81,23,17,191,191
"82",82,21,6,191,191
"83",83,28,9,191,191
"84",84,28,16,191,191
"85",85,25,9,191,191
"86",86,31,25,191,191
"87",87,28,12,191,191
"88",88,24,13,191,191
"89",89,29,16,191,191
"90",90,28,14,191,191
"91",91,26,14,191,191
"92",92,32,48,191,191
"93",93,24,11,191,191
"94",94,25,8,191,191
"95",95,30,22,191,191
"96",96,33,27,191,191
"97",97,33,33,191,191
"98",98,27,19,191,191
"99",99,25,19,191,191
"100",100,26,20,191,191
"101",101,33,19,191,191
"102",102,31,20,191,191
"103",103,30,56,191,191
"104",104,32,34,191,191
"105",105,27,36,191,191
"106",106,26,9,191,191
"107",107,26,16,191,191
"108",108,25,11,191,191
"109",109,25,29,191,191
"110",110,24,5,191,191
"111",111,27,14,191,191
"112",112,25,27,191,191
"113",113,21,20,191,191
"114",114,24,27,191,191
"115",115,24,22,191,191
"116",116,31,11,191,191
"117",117,25,19,191,191
"118",118,27,8,191,191
"119",119,25,6,191,191
"120",120,28,14,191,191
"121",121,23,10,191,191
"122",122,26,21,191,191
"123",123,28,10,191,191
"124",124,32,6,191,191
"125",125,31,32,191,191
"126",126,29,18,191,191
"127",127,34,6,191,191
"128",128,26,27,191,191
"129",129,29,35,191,191
"130",130,22,15,191,191
"131",131,26,79,191,191
"132",132,26,9,191,191
"133",133,33,32,191,191
"134",134,34,21,191,191
"135",135,33,32,191,191
"136",136,28,15,191,191
"137",137,28,26,191,191
"138",138,28,11,191,191
"139",139,31,16,191,191
"140",140,31,24,191,191
"141",141,29,42,191,191
"142",142,30,49,191,191
"143",143,29,38,191,191
"144",144,22,4,191,191
"145",145,28,35,191,191
"146",146,29,8,191,191
"147",147,33,63,191,191
"148",148,28,27,191,191
"149",149,21,9,191,191
"150",150,25,16,191,191
"151",151,24,8,191,191
"152",152,32,29,191,191
"153",153,29,29,191,191
"154",154,27,25,191,191
"155",155,28,39,191,191
"156",156,25,19,191,191
"157",157,30,22,191,191
"158",158,24,14,191,191
"159",159,24,22,191,191
"160",160,25,25,191,191
"161",161,35,26,191,191
"162",162,42,39,191,191
"163",163,27,9,191,191
"164",164,32,18,191,191
"165",165,27,18,191,191
"166",166,29,8,191,191
"167",167,27,10,191,191
"168",168,24,42,191,191
"169",169,33,44,191,191
"170",170,28,8,191,191
"171",171,25,13,191,191
"172",172,31,13,191,191
"173",173,26,21,191,191
"174",174,25,29,191,191
"175",175,24,12,191,191
"176",176,23,12,191,191
"177",177,31,28,191,191
"178",178,32,23,191,191
"179",179,25,13,191,191
"180",180,33,42,191,191
"181",181,31,11,191,191
"182",182,26,24,191,191
"183",183,35,35,191,191
"184",184,27,24,191,191
"185",185,36,115,191,191
"186",186,28,21,191,191
"187",187,23,18,191,191
"188",188,31,26,191,191
"189",189,26,6,191,191
"190",190,29,23,191,191
"191",191,24,21,191,191
"192",192,27,20,191,191
"193",193,26,16,191,191
"194",194,25,34,191,191
"195",195,27,46,191,191
"196",196,29,22,191,191
"197",197,39,30,191,191
"198",198,32,26,191,191
"199",199,24,7,191,191
"200",200,29,7,191,191
"201",201,33,18,191,191
"202",202,26,15,191,191
"203",203,42,25,191,191
"204",204,39,37,191,191
"205",205,30,29,191,191
"206",206,24,25,191,191
"207",207,29,23,191,191
"208",208,30,42,191,191
"209",209,27,18,191,191
"210",210,30,45,191,191
"211",211,36,22,191,191
"212",212,28,20,191,191
"213",213,32,16,191,191
"214",214,30,42,191,191
"215",215,28,14,191,191
"216",216,21,11,191,191
"217",217,31,22,191,191
"218",218,21,8,191,191
"219",219,28,39,191,191
"220",220,27,48,191,191
"221",221,28,13,191,191
"222",222,23,39,191,191
"223",223,30,36,191,191
"224",224,33,24,191,191
"225",225,23,9,191,191
"226",226,29,28,191,191
"227",227,26,5,191,191
"228",228,29,38,191,191
"229",229,27,45,191,191
"230",230,24,22,191,191
"231",231,29,48,191,191
"232",232,31,8,191,191
"233",233,28,17,191,191
"234",234,28,12,191,191
"235",235,24,14,191,191
"236",236,26,11,191,191
"237",237,35,21,191,191
"238",238,24,14,191,191
"239",239,27,17,191,191
"240",240,26,23,191,191
"241",241,26,8,191,191
"242",242,28,8,191,191
"243",243,27,19,191,191
"244",244,32,14,191,191
"245",245,26,10,191,191
"246",246,27,22,191,191
"247",247,27,24,191,191
"248",248,27,14,191,191
"249",249,26,10,191,191
"250",250,32,9,191,191
"251",251,29,23,191,191
"252",252,48,66,191,191
"253",253,26,13,191,191
"254",254,24,22,191,191
"255",255,29,14,191,191
"256",256,31,31,191,191
"257",257,25,31,191,191
"258",258,30,12,191,191
"259",259,22,9,191,191
"260",260,30,9,191,191
"261",261,23,10,191,191
"262",262,35,7,191,191
"263",263,25,11,191,191
"264",264,45,61,191,191
"265",265,23,20,191,191
"266",266,25,16,191,191
"267",267,24,20,191,191
"268",268,29,17,191,191
"269",269,37,39,191,191
"270",270,34,38,191,191
"271",271,27,11,191,191
"272",272,37,25,191,191
"273",273,26,29,191,191
"274",274,28,31,191,191
"275",275,33,54,191,191
"276",276,25,16,191,191
"277",277,26,29,191,191
"278",278,28,37,191,191
"279",279,34,19,191,191
"280",280,26,15,191,191
"281",281,28,13,191,191
"282",282,46,38,191,191
"283",283,26,9,191,191
"284",284,25,21,191,191
"285",285,29,78,191,191
"286",286,25,21,191,191
"287",287,26,9,191,191
"288",288,30,64,191,191
"289",289,29,13,191,191
"290",290,26,10,191,191
"291",291,33,25,191,191
"292",292,30,38,191,191
"293",293,31,14,191,191
"294",294,25,11,191,191
"295",295,25,30,191,191
"296",296,26,17,191,191
"297",297,25,16,191,191
"298",298,27,8,191,191
"299",299,31,39,191,191
"300",300,25,10,191,191
"301",301,26,43,191,191
"302",302,25,8,191,191
"303",303,26,21,191,191
"304",304,31,17,191,191
"305",305,33,21,191,191
"306",306,27,28,191,191
"307",307,38,25,191,191
"308",308,27,25,191,191
"309",309,27,37,191,191
"310",310,29,37,191,191
"311",311,28,14,191,191
"312",312,23,10,191,191
"313",313,34,32,191,191
"314",314,27,16,191,191
"315",315,32,22,191,191
"316",316,30,7,191,191
"317",317,46,43,191,191
"318",318,21,9,191,191
"319",319,21,7,191,191
"320",320,23,10,191,191
"321",321,23,14,191,191
"322",322,23,11,191,191
"323",323,20,37,191,191
"324",324,30,37,191,191
"325",325,24,31,191,191
"326",326,29,18,191,191
"327",327,25,12,191,191
"328",328,31,33,191,191
"329",329,29,29,191,191
"330",330,24,8,191,191
"331",331,28,12,191,191
"332",332,24,43,191,191
"333",333,28,15,191,191
"334",334,35,46,191,191
"335",335,29,13,191,191
"336",336,23,22,191,191
"337",337,27,19,191,191
"338",338,25,21,191,191
"339",339,30,20,191,191
"340",340,33,20,191,191
"341",341,27,16,191,191
"342",342,30,9,191,191
"343",343,26,46,191,191
"344",344,27,31,191,191
"345",345,27,22,191,191
"346",346,28,8,191,191
"347",347,25,31,191,191
"348",348,38,26,191,191
"349",349,28,12,191,191
"350",350,25,20,191,191
"351",351,26,19,191,191
"352",352,28,21,191,191
"353",353,25,23,191,191
"354",354,31,11,191,191
"355",355,27,63,191,191
"356",356,25,32,191,191
"357",357,28,6,191,191
"358",358,28,23,191,191
"359",359,28,38,191,191
"360",360,22,10,191,191
"361",361,28,7,191,191
"362",362,35,40,191,191
"363",363,22,13,191,191
"364",364,28,49,191,191
"365",365,29,44,191,191
"366",366,23,14,191,191
"367",367,26,9,191,191
"368",368,41,56,191,191
"369",369,25,22,191,191
"370",370,28,7,191,191
"371",371,27,13,191,191
"372",372,24,10,191,191
"373",373,25,24,191,191
"374",374,31,5,191,191
"375",375,29,11,191,191
"376",376,25,7,191,191
"377",377,22,11,191,191
"378",378,27,11,191,191
"379",379,27,9,191,191
"380",380,33,32,191,191
"381",381,34,30,191,191
"382",382,31,25,191,191
"383",383,35,32,191,191
"384",384,24,14,191,191
"385",385,29,10,191,191
"386",386,24,8,191,191
"387",387,26,9,191,191
"388",388,23,10,191,191
"389",389,32,17,191,191
"390",390,25,14,191,191
"391",391,25,27,191,191
"392",392,29,33,191,191
"393",393,20,7,191,191
"394",394,27,17,191,191
"395",395,25,25,191,191
"396",396,30,22,191,191
"397",397,30,24,191,191
"398",398,22,10,191,191
"399",399,25,8,191,191
"400",400,36,31,191,191
"401",401,28,46,191,191
"402",402,25,14,191,191
"403",403,32,14,191,191
"404",404,28,16,191,191
"405",405,25,42,191,191
"406",406,29,23,191,191
"407",407,27,21,191,191
"408",408,25,38,191,191
"409",409,28,15,191,191
"410",410,33,28,191,191
"411",411,23,17,191,191
"412",412,26,31,191,191
"413",413,26,11,191,191
"414",414,25,23,191,191
"415",415,29,9,191,191
"416",416,33,23,191,191
"417",417,23,13,191,191
"418",418,27,12,191,191
"419",419,25,9,191,191
"420",420,24,26,191,191
"421",421,42,18,191,191
"422",422,26,17,191,191
"423",423,26,35,191,191
"424",424,25,15,191,191
"425",425,36,25,191,191
"426",426,26,20,191,191
"427",427,32,9,191,191
"428",428,26,8,191,191
"429",429,32,24,191,191
"430",430,22,10,191,191
"431",431,32,17,191,191
"432",432,29,12,191,191
"433",433,29,12,191,191
"434",434,29,19,191,191
"435",435,38,25,191,191
"436",436,22,7,191,191
"437",437,30,19,191,191
"438",438,23,38,191,191
"439",439,33,22,191,191
"440",440,28,5,191,191
"441",441,28,20,191,191
"442",442,23,10,191,191
"443",443,24,14,191,191
"444",444,28,18,191,191
"445",445,30,20,191,191
"446",446,23,6,191,191
"447",447,27,16,191,191
"448",448,39,28,191,191
"449",449,31,14,191,191
"450",450,28,15,191,191
"451",451,22,12,191,191
"452",452,33,13,191,191
"453",453,27,20,191,191
"454",454,25,9,191,191
"455",455,26,15,191,191
"456",456,23,43,191,191
"457",457,30,15,191,191
"458",458,25,9,191,191
"459",459,33,43,191,191
"460",460,29,17,191,191
"461",461,32,12,191,191
"462",462,35,20,191,191
"463",463,27,58,191,191
"464",464,29,11,191,191
"465",465,37,38,191,191
"466",466,51,39,191,191
"467",467,25,13,191,191
"468",468,35,23,191,191
"469",469,23,12,191,191
"470",470,23,21,191,191
"471",471,42,76,191,191
"472",472,33,14,191,191
"473",473,23,16,191,191
"474",474,26,19,191,191
"475",475,25,15,191,191
"476",476,25,15,191,191
"477",477,33,19,191,191
"478",478,26,20,191,191
"479",479,31,24,191,191
"480",480,27,21,191,191
"481",481,30,18,191,191
"482",482,25,6,191,191
"483",483,25,6,191,191
"484",484,25,24,191,191
"485",485,24,15,191,191
"486",486,28,20,191,191
"487",487,27,23,191,191
"488",488,27,15,191,191
"489",489,28,35,191,191
"490",490,29,22,191,191
"491",491,29,23,191,191
"492",492,22,58,191,191
"493",493,32,13,191,191
"494",494,31,14,191,191
"495",495,26,28,191,191
"496",496,31,19,191,191
"497",497,24,7,191,191
"498",498,32,44,191,191
"499",499,31,10,191,191
"500",500,23,15,191,191
"501",501,32,29,191,191
"502",502,31,25,191,191
"503",503,23,10,191,191
"504",504,27,35,191,191
"505",505,36,25,191,191
"506",506,27,19,191,191
"507",507,32,18,191,191
"508",508,25,8,191,191
"509",509,30,37,191,191
"510",510,27,19,191,191
"511",511,29,18,191,191
"512",512,24,4,191,191
"513",513,29,8,191,191
"514",514,25,17,191,191
"515",515,26,16,191,191
"516",516,26,11,191,191
"517",517,24,7,191,191
"518",518,27,12,191,191
"519",519,36,35,191,191
"520",520,26,23,191,191
"521",521,26,31,191,191
"522",522,32,33,191,191
"523",523,29,20,191,191
"524",524,26,6,191,191
