"","mn","l","ln.nm","ln.n.m.","u","lambda","K"
"1",191,22.6,10.505,10.25,26.45,0.298,0.073
"2",245,25.8,11.003,10.78,28.31,0.286,0.055
"3",314,29.4,11.499,11.3,30.21,0.282,0.051
"4",403,32.4,11.998,11.83,32.04,0.275,0.041
"5",518,36.3,12.5,12.35,33.92,0.279,0.048
"6",665,40.3,13,12.87,35.94,0.273,0.041
"7",854,43.9,13.5,13.39,37.84,0.272,0.04
"8",1097,48.1,14.001,13.91,39.75,0.275,0.046
"9",1408,51.6,14.5,14.43,41.71,0.268,0.036
"10",1808,55.1,15,14.94,43.54,0.271,0.041
"11",2322,59.1,15.5,15.45,45.53,0.267,0.035
"12",2981,63.5,16,15.96,47.32,0.27,0.04
